id,name,short_name,slug
arsenal,Arsenal,Arsenal,arsenal
aston_villa,Aston Villa,Villa,aston-villa
brighton,Brighton,Brighton,brighton
chelsea,Chelsea,Chelsea,chelsea
crystal_palace,Crystal Palace,Palace,crystal-palace
everton,Everton,Everton,everton
fulham,Fulham,Fulham,fulham
leicester,Leicester,Leicester,leicester
liverpool,Liverpool,Liverpool,liverpool
man_city,Manchester City,Man City,man-city
man_united,Manchester United,Man Utd,man-united
newcastle,Newcastle,Newcastle,newcastle
southampton,Southampton,Southampton,southampton
tottenham,Tottenham,Spurs,tottenham
west_ham,West Ham,West Ham,west-ham
wolves,Wolves,Wolves,wolves
leeds,Leeds United,Leeds,leeds
nottm_forest,Nott'm Forest,Forest,nottm-forest
bournemouth,Bournemouth,Bournemouth,bournemouth
brentford,Brentford,Brentford,brentford
